ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;;1;151000;;;;;;null;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;74973000;;;;;;null;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;44415000;;;;;;null;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;44415000;;;;;;null;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;1835000;;;;;;null;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;1011000;;;;;;null;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;188000;;;;;;null;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;12684000;;;;;;null;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;18877000;;;;;;null;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;1250000;;;;;;null;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;7557000;;;;;;null;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;421000;;;;;;null;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
;;1;311000;;;;;;null;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:&Producto:&Segmento:&Vendedor:Sara Comercial;;
