ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Acondicionadores de aire mabe 24000tu mmt128;5817000;1;0;;;;;3;;MABE;;;;81,00;81,00;81,00;394,510500;50;;;;;;;;;;;;;;;;;;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:81  CM&Alto:102  CM&Largo:191  CM&Peso:0  GR;;;
;Acondicionadores de aire mabe 18000tu mmt18;4169000;1;0;;;;;2;;MABE;;;;76,00;76,00;76,00;414,960000;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AAMMT18CDBWCCMS81.jpg;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:76  CM&Alto:120  CM&Largo:182  CM&Peso:51000  GR;;;
;Aiwa - parlante aw-s600bt w/proof bt/tws/fm/usb (ch);759000;1;0;;;;;EDAWS600BT;;AIWA;7453041023942;;;50,00;50,00;50,00;31,250000;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDAWS600BT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial&Ancho:50  CM&Alto:50  CM&Largo:50  CM&Peso:GR;;;
;Aiwatch smart band aw-s115b  bt/frec cardiaca/clima/pres art;247000;1;0;;;;;ELAWS115B;;AIWA;7453041022495;;;3,00;3,00;3,00;0,080625;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWS115BK.jpg;;;Marca:AIWA&Producto:ACCESORIOS&Segmento:ACCESORIOS&Vendedor:Sara Comercial&Ancho:3  CM&Alto:8.6  CM&Largo:12.5  CM&Peso:50  GR;;;
;Alisador philips bhs674/00 placa ceramica 10fun dig temp 220?c ion 240v;462000;1;0;;;;;EDPCPPBHS67400-RT;;PHILIPS;8710103769279;;;6,20;6,20;6,20;0,605275;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS67400-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:6.2  CM&Alto:11  CM&Largo:35.5  CM&Peso:1  GR;;;
;Alisador philips bhs675/00 placa ceramica 11fun dig 230?c ion keratina 240v;546000;1;0;;;;;EDPCPPBHS67500-RT;;PHILIPS;8710103769361;;;6,30;6,30;6,30;0,615038;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS67500-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:6.3  CM&Alto:11  CM&Largo:35.5  CM&Peso:1  GR;;;
;Afeitadora rotativa philips s5420/04 sec/hum +precision 45m/1h trimmer 100-240v;1088000;1;0;;;;;EDPCPAS542004-RT;;PHILIPS;8710103742524;;;7,00;7,00;7,00;0,465500;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS542004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:7  CM&Alto:19  CM&Largo:14  CM&Peso:404  GR;;;
;Afeitadora philips qp2521/10 oneblade uso rostro seco humedo 2 acc 240v;349000;1;0;;;;;EDPCAQP252110-RT;;PHILIPS;8710103890386;;;10,00;10,00;10,00;0,337500;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP252110-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:10  CM&Alto:18  CM&Largo:7.5  CM&Peso:241  GR;;;
;Afeitadora philips qp2510/15 oneblade uso rostro seco humedo 2 acc 240v;268000;1;0;;;;;EDPCAQP251010-RT;;PHILIPS;8710103961581;;;10,00;10,00;10,00;0,306000;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP251010-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:10  CM&Alto:20.4  CM&Largo:6  CM&Peso:205  GR;;;
;Aiwatch pro aw-sr10n marco negro bt/gps/rit cardiaco;546000;1;0;;;;;ELAWSR10NBKBK;;AIWA;7453041022587;;;6,00;6,00;6,00;0,135000;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWSR10NBKBK.jpg;;;Marca:AIWA&Producto:ACCESORIOS&Segmento:ACCESORIOS&Vendedor:Sara Comercial&Ancho:6  CM&Alto:9  CM&Largo:10  CM&Peso:17  GR;;;
